sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
7,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,115.85,9.63,4.14,31.18,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
8,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,113.31,9.25,2.49,29.39,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
9,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,114.69,9.6,1.72,32.25,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
10,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,110.12,14.12,2.0,38.58,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
11,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,111.28,15.05,4.85,43.6,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
12,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,107.79,14.28,1.84,40.22,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
13,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,130.54,6.08,2.09,16.36,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,unknown_incorrect,bad form
14,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,113.72,26.35,3.39,119.68,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
15,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,140.49,33.91,3.55,109.21,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
16,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,129.02,2.07,4.8,6.15,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
17,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,112.58,14.95,6.02,53.21,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
18,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,106.13,7.13,6.16,25.4,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
19,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,119.31,3.38,3.69,13.04,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,unknown_incorrect,bad form
